date,overall_sentiment_score,ticker_sentiment_score,ticker,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient,price_movement
2022-03-01,-0.27746,-0.24775,AAPL,164.695,166.6,161.97,163.2,160.956402696,83474425,0.0,1.0,1
2022-03-02,-0.482449,-0.4490195,AAPL,164.39,167.36,162.95,166.56,164.2702109868,79724750,0.0,1.0,0
2022-03-03,-0.047581000000000005,-0.08359666666666667,AAPL,168.47,168.91,165.55,166.23,163.944747672525,76678441,0.0,1.0,0
2022-03-04,0.04104985714285714,0.04897271428571429,AAPL,164.49,165.55,162.1,163.17,160.926815121975,83819592,0.0,1.0,0
2022-03-07,-0.022204478260869565,-6.478260869569283e-06,AAPL,163.36,165.02,159.04,159.3,157.11001807275,96418845,0.0,1.0,0
2022-03-08,0.0003616785714285733,-0.014650250000000002,AAPL,158.82,162.88,155.8,157.44,155.2755884832,131148280,0.0,1.0,1
2022-03-09,-0.010790133333333335,0.01987493333333333,AAPL,161.475,163.41,159.41,162.95,160.709839579125,91454905,0.0,1.0,0
2022-03-10,-0.07537439130434782,-0.11189343478260869,AAPL,160.2,160.39,155.98,158.52,156.3407411481,105342033,0.0,1.0,0
2022-03-11,0.027419133333333335,0.04932866666666666,AAPL,158.93,159.28,154.5,154.73,152.602844296275,96970102,0.0,1.0,0
2022-03-14,-0.11340207843137255,-0.1562148431372549,AAPL,151.45,154.12,150.1,150.62,148.54934665485,108732111,0.0,1.0,1
2022-03-15,-0.021256166666666666,-0.03933346666666667,AAPL,150.9,155.57,150.38,155.09,152.957895184575,92964302,0.0,1.0,1
2022-03-16,0.015982600000000003,0.040162833333333335,AAPL,157.05,160.0,154.46,159.59,157.396031288325,102300157,0.0,1.0,1
2022-03-17,-0.0054457317073170735,0.032984487804878046,AAPL,158.61,161.0,157.63,160.62,158.41187132985,75615376,0.0,1.0,1
2022-03-18,0.02513528571428571,0.05623011428571428,AAPL,160.51,164.48,159.76,163.98,161.72567962065,122055535,0.0,1.0,1
2022-03-21,-0.06759120930232558,-0.06579332558139535,AAPL,163.51,166.35,163.015,165.38,163.10643307515,89029269,0.0,1.0,1
2022-03-22,0.0064684411764705865,0.023565735294117648,AAPL,165.51,169.42,164.91,168.82,166.49914156335,80979755,0.0,1.0,1
2022-03-23,-0.00543759523809524,0.0277225,AAPL,167.99,172.64,167.65,170.21,167.870032493175,98062674,0.0,1.0,1
2022-03-24,-0.00270895652173913,-0.009986521739130434,AAPL,171.06,174.14,170.21,174.07,171.676967017725,90131418,0.0,1.0,1
2022-03-25,-0.022589333333333333,0.04250169047619048,AAPL,173.88,175.28,172.75,174.72,172.3180311216,80281664,0.0,1.0,1
2022-03-28,-0.014623051724137933,-0.0468018275862069,AAPL,172.17,175.73,172.0,175.6,173.185933293,90371916,0.0,1.0,1
2022-03-29,-0.020372760869565215,-0.005428152173913041,AAPL,176.69,179.01,176.34,178.96,176.4997415838,100589440,0.0,1.0,0
2022-03-30,0.027978883333333333,0.052759600000000004,AAPL,178.55,179.61,176.7,177.77,175.326101147475,92633154,0.0,1.0,0
2022-03-31,-0.01819972727272727,-0.020627772727272727,AAPL,177.84,178.03,174.4,174.61,172.209543350175,103049285,0.0,1.0,0
2022-04-01,-0.023533666666666668,-0.07284556410256411,AAPL,174.03,174.88,171.94,174.31,171.913667609925,78751328,0.0,1.0,1
2022-04-04,0.020173194444444445,-0.02099947222222222,AAPL,174.57,178.49,174.44,178.44,175.9868903007,76545983,0.0,1.0,0
2022-04-05,-0.005372724137931034,0.04037651724137931,AAPL,177.5,178.3,174.415,175.06,172.65335696055,70902999,0.0,1.0,0
2022-04-06,-0.018605655172413797,0.023132103448275862,AAPL,172.36,173.63,170.13,171.83,169.467761490525,89058782,0.0,1.0,1
2022-04-07,-0.02453642857142857,-0.040989833333333336,AAPL,171.16,173.36,169.85,172.14,169.77349975545,77594650,0.0,1.0,0
2022-04-08,-0.02275976923076923,-0.0019300000000000007,AAPL,171.78,171.78,169.2,170.09,167.751682197075,76575508,0.0,1.0,0
2022-04-11,-0.06503706060606061,-0.04648930303030303,AAPL,168.71,169.03,165.5,165.75,163.471346488125,72246706,0.0,1.0,1
2022-04-12,-0.0789990625,-0.07299385416666666,AAPL,168.02,169.87,166.64,167.66,165.35508870105,79265181,0.0,1.0,1
2022-04-13,0.0083245,-0.027594117647058825,AAPL,167.39,171.04,166.77,170.4,168.057420462,70618925,0.0,1.0,0
2022-04-14,-0.04765636585365854,-0.12486856097560975,AAPL,170.62,171.27,165.04,165.29,163.017670353075,75329376,0.0,1.0,0
2022-04-18,-0.04041360606060606,-0.06622609090909092,AAPL,163.92,166.5984,163.57,165.07,162.800694810225,69023941,0.0,1.0,1
2022-04-19,-0.044146060606060605,-0.08355021212121212,AAPL,165.02,167.82,163.91,167.4,165.0986630595,67723833,0.0,1.0,0
2022-04-20,-0.047123447368421056,-0.019574684210526317,AAPL,168.76,168.88,166.1,167.23,164.931000140025,67718110,0.0,1.0,0
2022-04-21,-0.014201170731707319,-0.014939121951219513,AAPL,168.91,171.53,165.91,166.42,164.13213564135,87227768,0.0,1.0,0
2022-04-22,-0.03562686956521739,-0.026224065217391304,AAPL,166.46,167.8699,161.5,161.79,159.565786716825,84882424,0.0,1.0,1
2022-04-25,-0.08292533333333334,-0.07905719607843137,AAPL,161.12,163.17,158.46,162.88,160.6408019064,96046376,0.0,1.0,0
2022-04-26,-0.05226811428571429,-0.050823457142857145,AAPL,162.25,162.34,156.72,156.8,154.644386904,94008394,0.0,1.0,0
2022-04-27,-0.10927439534883722,-0.13009520930232557,AAPL,155.91,159.79,155.38,156.57,154.417548836475,88063191,0.0,1.0,1
2022-04-28,-0.0623372794117647,-0.012857764705882352,AAPL,159.25,164.515,158.93,163.64,161.3903537817,130216792,0.0,1.0,0
2022-04-29,-0.09251510144927537,-0.07219246376811594,AAPL,161.84,166.2,157.25,157.65,155.482701501375,131747571,0.0,1.0,1
2022-05-02,-0.11953333333333334,-0.07051309523809525,AAPL,156.71,158.23,153.27,157.96,155.7884397663,123055265,0.0,1.0,1
2022-05-03,-0.0616411875,-0.11542000000000001,AAPL,158.15,160.71,156.32,159.48,157.2875435169,88966526,0.0,1.0,1
2022-05-04,-0.013960586206896549,0.014885517241379313,AAPL,159.67,166.48,159.26,166.02,163.73763465435,107521649,0.0,1.0,0
2022-05-05,-0.12514211111111112,-0.1416876388888889,AAPL,163.85,164.08,154.95,156.77,154.614799329975,130525275,0.0,1.0,1
2022-05-06,-0.09275993548387096,-0.06675325806451614,AAPL,156.01,159.44,154.18,157.28,155.344626155925,116124647,0.23,1.0,0
2022-05-09,-0.11614000000000001,-0.14783018750000002,AAPL,154.925,155.83,151.49,152.06,150.188859697799,131577921,0.0,1.0,1
2022-05-10,-0.08506757142857142,-0.07645991428571429,AAPL,155.52,156.74,152.93,154.51,152.608711771057,115366736,0.0,1.0,0
2022-05-11,-0.057085866666666665,-0.04310153333333334,AAPL,153.5,155.45,145.81,146.5,144.697277033589,142689825,0.0,1.0,0
2022-05-12,-0.09463306896551724,-0.10129910344827586,AAPL,142.77,146.2,138.8,142.56,140.805759821901,182602041,0.0,1.0,1
2022-05-13,-0.029328512820512815,0.005622,AAPL,144.59,148.105,143.11,147.11,145.299770815094,113990852,0.0,1.0,0
2022-05-16,-0.0624472962962963,-0.03900559259259259,AAPL,145.55,147.5199,144.18,145.54,143.749090098762,86643781,0.0,1.0,1
2022-05-17,-0.04500714285714286,-0.06974874285714286,AAPL,148.86,149.77,146.68,149.24,147.403560576743,78336254,0.0,1.0,0
2022-05-18,-0.09682758536585366,-0.09133873170731707,AAPL,146.85,147.3601,139.9,140.82,139.087171002526,109742890,0.0,1.0,0
2022-05-19,-0.134366,-0.13680105,AAPL,139.88,141.66,136.6,137.35,135.659870311014,136095640,0.0,1.0,1
2022-05-20,-0.08541517142857143,-0.014350114285714283,AAPL,139.09,140.7,132.61,137.59,135.896917044721,137426125,0.0,1.0,1
2022-05-23,-0.02474424390243903,-0.055875341463414635,AAPL,137.79,143.26,137.65,143.11,141.348991919979,117726265,0.0,1.0,0
2022-05-24,-0.11313595348837209,-0.14479637209302323,AAPL,140.805,141.97,137.33,140.36,138.632831429588,104132746,0.0,1.0,1
2022-05-25,-0.06029871875,-0.07034618749999999,AAPL,138.43,141.785,138.34,140.52,138.790862585392,92482696,0.0,1.0,1
2022-05-26,-0.06486217391304348,-0.05266843478260869,AAPL,137.39,144.34,137.14,143.78,142.010747384911,90601548,0.0,1.0,1
2022-05-27,-0.052865760000000005,-0.048395679999999996,AAPL,145.39,149.68,145.26,149.64,147.798638466255,90978503,0.0,1.0,0
2022-05-31,-0.018223838709677417,0.0017394193548387086,AAPL,149.07,150.66,146.84,148.84,147.008482687232,103718416,0.0,1.0,0
2022-06-01,-0.029041115384615384,-0.031653230769230774,AAPL,149.9,151.74,147.68,148.71,146.880082373141,74286635,0.0,1.0,1
2022-06-02,-0.060251068965517234,-0.0450706551724138,AAPL,147.83,151.27,146.86,151.21,149.349319182587,72348055,0.0,1.0,0
2022-06-03,-0.09807844117647059,-0.07373011764705882,AAPL,146.9,147.97,144.46,145.38,143.591058942957,88570289,0.0,1.0,1
2022-06-06,-0.03278513725490196,-0.006898764705882351,AAPL,147.03,148.5689,144.9,146.14,144.341706933029,71598380,0.0,1.0,1
2022-06-07,-0.038259102564102566,0.015749230769230772,AAPL,144.345,149.0,144.1,148.71,146.880082373141,67808150,0.0,1.0,0
2022-06-08,-0.043481225,-0.013212925,AAPL,148.58,149.8697,147.46,147.96,146.139311330306,53950201,0.0,1.0,0
2022-06-09,-0.06476971428571428,0.0018782857142857132,AAPL,147.08,147.95,142.53,142.64,140.884775399803,69472976,0.0,1.0,0
2022-06-10,-0.08653636170212767,-0.15558559574468084,AAPL,140.28,140.76,137.06,137.13,135.442577471782,91566637,0.0,1.0,0
2022-06-13,-0.11851675862068965,-0.11148896551724138,AAPL,132.87,135.2,131.44,131.88,130.257180171944,122207099,0.0,1.0,1
2022-06-14,-0.045113459999999994,-0.05585319999999999,AAPL,133.13,133.89,131.48,132.76,131.126351528869,84784326,0.0,1.0,1
2022-06-15,-0.05511984375,-0.01411153125,AAPL,134.29,137.34,132.16,135.43,133.763496441358,91532972,0.0,1.0,0
2022-06-16,-0.12254716666666667,-0.14459725,AAPL,132.08,132.39,129.04,130.06,128.459575774666,107961508,0.0,1.0,1
2022-06-17,0.018777322580645156,0.06098422580645162,AAPL,130.065,133.079,129.81,131.56,129.941117860335,134520290,0.0,1.0,1
2022-06-21,-0.06361492307692308,-0.06665776923076924,AAPL,133.42,137.06,133.32,135.87,134.198082119821,81000488,0.0,1.0,0
2022-06-22,0.06425289285714285,0.07052821428571429,AAPL,134.79,137.76,133.91,135.35,133.684480863456,73409234,0.0,1.0,1
2022-06-23,-0.05923345454545454,-0.0695009090909091,AAPL,136.82,138.59,135.63,138.27,136.56854945689,72433768,0.0,1.0,1
2022-06-24,-0.047812999999999994,-0.06238389285714285,AAPL,139.9,141.91,139.77,141.66,139.9168345705,89116837,0.0,1.0,0
2022-06-27,-0.024252382352941172,-0.03889317647058824,AAPL,142.695,143.49,140.965,141.66,139.9168345705,70207908,0.0,1.0,0
2022-06-28,-0.123577125,-0.09889428125000001,AAPL,142.13,143.422,137.325,137.44,135.748762836154,67315328,0.0,1.0,1
2022-06-29,0.0029564545454545442,0.010777363636363635,AAPL,137.46,140.67,136.67,139.23,137.516736391718,66242411,0.0,1.0,0
2022-06-30,-0.06341130952380952,-0.028862452380952378,AAPL,137.25,138.37,133.7737,136.72,135.037622635033,98964467,0.0,1.0,1
2022-07-01,-0.09513491176470588,-0.07348717647058824,AAPL,136.04,139.04,135.66,138.93,137.220427974584,71051552,0.0,1.0,1
2022-07-05,-0.08013534615384615,-0.055703576923076925,AAPL,137.77,141.61,136.93,141.56,139.818065098122,73429641,0.0,1.0,1
2022-07-06,-0.043166600000000006,-0.01747706666666666,AAPL,141.355,144.12,141.08,142.92,141.161329922461,74064254,0.0,1.0,1
2022-07-07,-0.060759269230769235,-0.06120146153846154,AAPL,143.29,146.55,143.28,146.35,144.549122825023,66253709,0.0,1.0,1
2022-07-08,-0.037518944444444445,0.028866666666666665,AAPL,145.265,147.55,145.0,147.04,145.23063218443,64547798,0.0,1.0,0
2022-07-11,0.12179944827586207,0.0668391724137931,AAPL,145.67,146.64,143.78,144.87,143.08733463383,63305113,0.0,1.0,1
2022-07-12,0.11359414705882352,0.11310511764705881,AAPL,145.76,148.45,145.05,145.86,144.065152410371,77588759,0.0,1.0,0
2022-07-13,0.17891085185185182,0.10148862962962964,AAPL,142.99,146.45,142.1201,145.49,143.699705362573,71185560,0.0,1.0,1
2022-07-14,0.10999365517241379,0.157635,AAPL,144.08,148.95,143.25,148.47,146.643035639434,78140744,0.0,1.0,1
2022-07-15,0.1223116,0.09426664000000001,AAPL,149.78,150.86,148.2,150.17,148.322116669858,76259931,0.0,1.0,0
